
2026/04/04 (20:39:45) | ===> btop++ v.1.3.0
2026/04/04 (20:39:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/04/04 (20:51:16) | ===> btop++ v.1.3.0
2026/04/04 (20:51:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/04/05 (13:04:58) | ===> btop++ v.1.3.0
2026/04/05 (13:04:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/04/05 (22:17:15) | ===> btop++ v.1.3.0
2026/04/05 (22:17:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/04/05 (23:06:55) | ===> btop++ v.1.3.0
2026/04/05 (23:06:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/05/10 (11:22:25) | ===> btop++ v.1.3.0
2026/05/10 (11:22:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/05/10 (19:50:20) | ===> btop++ v.1.3.0
2026/05/10 (19:50:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/05/22 (11:42:31) | ===> btop++ v.1.3.0
2026/05/22 (11:42:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/05/28 (21:02:52) | ===> btop++ v.1.3.0
2026/05/28 (21:02:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
